rdc;token;value_de;value_en
Component.Language;cos;Korsisch;Corsican
Component.Language;cpe;Kreolisch-Englisch;"Creoles and pidgins; English based"
Component.Language;cpf;Kreolisch-Französisch;"Creoles and pidgins; French-based"
Component.Language;cpp;Kreolisch-Portugiesisch;"Creoles and pidgins; Portuguese-based"
Component.Language;cre;Cree-Sprache;Cree
Component.Language;crh;Krimtatarisch;Crimean Tatar, Crimean Turkish
Component.Language;crp;Kreolische Sprachen;Creoles and pidgins
Component.Language;csb;Kaschubisch;Kashubian
Component.Language;cus;Kuschitische Sprachen;Cushitic language.isos
Component.Language;cze;Tschechisch;Czech
Component.Language;dak;Dakota-Sprache;Dakota
Component.Language;dan;Dänisch;Danish
Component.Language;dar;Darginisch;Dargwa
Component.Language;day;Dajakisch;Land Dayak language.isos
Component.Language;del;Delaware-Sprache;Delaware
Component.Language;den;Slave-Sprache;Slave (Athapascan)
Component.Language;dgr;Dogrib-Sprache;Dogrib
Component.Language;din;Dinka-Sprache;Dinka
Component.Language;div;Maledivisch;Divehi, Dhivehi, Maldivian
Component.Language;doi;Dogrī;Dogri
Component.Language;dra;Drawidische Sprachen;Dravidian language.isos
Component.Language;dsb;Niedersorbisch;Lower Sorbian
Component.Language;dua;Duala-Sprachen;Duala
Component.Language;dum;Mittelniederländisch;"Dutch; Middle (ca.1050-1350)"
Component.Language;dut;Niederländisch;Dutch, Flemish
Component.Language;dyu;Dyula-Sprache;Dyula
Component.Language;dzo;Dzongkha;Dzongkha
Component.Language;efi;Efik;Efik
Component.Language;egy;Ägyptisch;Egyptian (Ancient)
Component.Language;eka;Ekajuk;Ekajuk
Component.Language;elx;Elamisch;Elamite
Component.Language;eng;Englisch;English
Component.Language;enm;Mittelenglisch;"English; Middle (1100-1500)"
Component.Language;epo;Esperanto;Esperanto
Component.Language;est;Estnisch;Estonian
Component.Language;ewe;Ewe-Sprache;Ewe
Component.Language;ewo;Ewondo;Ewondo
Component.Language;fan;Pangwe-Sprache;Fang
Component.Language;fao;Färöisch;Faroese
Component.Language;fat;Fante-Sprache;Fanti
Component.Language;fij;Fidschi-Sprache;Fijian
Component.Language;fil;Pilipino;Filipino, Pilipino
Component.Language;fin;Finnisch;Finnish
Component.Language;fiu;Finnougrische Sprachen;Finno-Ugrian language.isos
Component.Language;fon;Fon-Sprache;Fon
Component.Language;fre;Französisch;French
Component.Language;frm;Mittelfranzösisch;"French; Middle (ca.1400-1600)"
Component.Language;fro;Altfranzösisch;"French; Old (842-ca.1400)"
Component.Language;frr;Nordfriesisch;Northern Frisian
Component.Language;frs;Friesisch;Eastern Frisian
Component.Language;fry;Friesisch;Western Frisian
Component.Language;ful;Ful;Fulah
Component.Language;fur;Friulisch;Friulian
Component.Language;gaa;Ga-Sprache;Ga
Component.Language;gay;Gayo-Sprache;Gayo
Component.Language;gba;Gbaya-Sprache;Gbaya
Component.Language;gem;Germanische Sprachen;Germanic language.isos
Component.Language;geo;Georgisch;Georgian
Component.Language;ger;Deutsch;German
Component.Language;gez;Geez;Geez
Component.Language;gil;Gilbertesisch;Gilbertese
Component.Language;gla;Gälisch-Schottisch;Gaelic, Scottish Gaelic
Component.Language;gle;Irisch;Irish
Component.Language;glg;Galicisch;Galician
Component.Language;glv;Manx;Manx
Component.Language;gmh;Mittelhochdeutsch;"German; Middle High (ca.1050-1500)"
Component.Language;goh;Althochdeutsch;"German; Old High (ca.750-1050)"
Component.Language;gon;Gondi-Sprache;Gondi
Component.Language;gor;Gorontalesisch;Gorontalo
Component.Language;got;Gotisch;Gothic
Component.Language;grb;Grebo-Sprache;Grebo
Component.Language;grc;Griechisch;"Greek; Ancient (to 1453)"
Component.Language;gre;Neugriechisch;"Greek; Modern (1453-)"
Component.Language;grn;Guaraní-Sprache;Guarani
Component.Language;gsw;Schweizerdeutsch;Swiss German, Alemannic, Alsatian
Component.Language;guj;Gujarātī-Sprache;Gujarati
Component.Language;gwi;Kutchin-Sprache;Gwich'in
Component.Language;hai;Haida-Sprache;Haida
Component.Language;hat;Haïtien;Haitian, Haitian Creole
Component.Language;hau;Haussa-Sprache;Hausa
Component.Language;haw;Hawaiisch;Hawaiian
Component.Language;heb;Hebräisch;Hebrew
Component.Language;her;Herero-Sprache;Herero
Component.Language;hil;Hiligaynon-Sprache;Hiligaynon
Component.Language;him;Himachali;Himachali language.isos, Western Pahari language.isos
Component.Language;hin;Hindi;Hindi
Component.Language;hit;Hethitisch;Hittite
Component.Language;hmn;Miao-Sprachen;Hmong, Mong
Component.Language;hmo;Hiri-Motu;Hiri Motu
Component.Language;hrv;Kroatisch;Croatian
Component.Language;hsb;Obersorbisch;Upper Sorbian
Component.Language;hun;Ungarisch;Hungarian
Component.Language;hup;Hupa-Sprache;Hupa
Component.Language;iba;Iban-Sprache;Iban
Component.Language;ibo;Ibo-Sprache;Igbo
Component.Language;ice;Isländisch;Icelandic
Component.Language;ido;Ido;Ido
Component.Language;iii;Lalo-Sprache;Sichuan Yi, Nuosu
Component.Language;ijo;Ijo-Sprache;Ijo language.isos
Component.Language;iku;Inuktitut;Inuktitut
Component.Language;ile;Interlingue;Interlingue, Occidental
Component.Language;ilo;Ilokano-Sprache;Iloko
Component.Language;ina;Interlingua;Interlingua (International Auxiliary language.iso Association)
Component.Language;inc;Indoarische Sprachen;Indic language.isos
Component.Language;ind;Bahasa / Indonesia;Indonesian
Component.Language;ine;Indogermanische Sprachen;Indo-European language.isos
Component.Language;inh;Inguschisch;Ingush
Component.Language;ipk;Inupik;Inupiaq
Component.Language;ira;Iranische Sprachen;Iranian language.isos
Component.Language;iro;Irokesische Sprachen;Iroquoian language.isos
Component.Language;ita;Italienisch;Italian
Component.Language;jav;Javanisch;Javanese
Component.Language;jbo;Lojban;Lojban
Component.Language;jpn;Japanisch;Japanese
Component.Language;jpr;Jüdisch-Persisch;Judeo-Persian
Component.Language;jrb;Jüdisch-Arabisch;Judeo-Arabic
Component.Language;kaa;Karakalpakisch;Kara-Kalpak
Component.Language;kab;Kabylisch;Kabyle
Component.Language;kac;Kachin-Sprache;Kachin, Jingpho
Component.Language;kal;Grönländisch;Kalaallisut, Greenlandic
Component.Language;kam;Kamba-Sprache;Kamba
Component.Language;kan;Kannada;Kannada
Component.Language;kar;Karenisch;Karen language.isos
Component.Language;kas;Kaschmiri;Kashmiri
Component.Language;kau;Kanuri-Sprache;Kanuri
Component.Language;kaw;Kawi;Kawi
Component.Language;kaz;Kasachisch;Kazakh
Component.Language;kbd;Kabardinisch;Kabardian
Component.Language;kha;Khasi-Sprache;Khasi
Component.Language;khi;Khoisan-Sprachen;Khoisan language.isos
Component.Language;khm;Kambodschanisch;Central Khmer
Component.Language;kho;Sakisch;Khotanese, Sakan
Component.Language;kik;Kikuyu-Sprache;Kikuyu, Gikuyu
Component.Language;kin;Rwanda-Sprache;Kinyarwanda
Component.Language;kir;Kirgisisch;Kirghiz, Kyrgyz
Component.Language;kmb;Kimbundu-Sprache;Kimbundu
Component.Language;kok;Konkani;Konkani
Component.Language;kom;Komi-Sprache;Komi
Component.Language;kon;Kongo-Sprache;Kongo
Component.Language;kor;Koreanisch;Korean
Component.Language;kos;Kosraeanisch;Kosraean
Component.Language;kpe;Kpelle-Sprache;Kpelle
Component.Language;krc;Karatschaiisch-Balkarisch;Karachay-Balkar
Component.Language;krl;Karelisch;Karelian
Component.Language;kro;Kru-Sprachen;Kru language.isos
Component.Language;kru;Oraon-Sprache;Kurukh
Component.Language;kua;Kwanyama-Sprache;Kuanyama, Kwanyama
Component.Language;kum;Kumükisch;Kumyk
Component.Language;kur;Kurdisch;Kurdish
Component.Language;kut;Kutenai-Sprache;Kutenai
Component.Language;lad;Judenspanisch;Ladino
Component.Language;lah;Lahndā;Lahnda
Component.Language;lam;Lamba-Sprache;Lamba
Component.Language;lao;Laotisch;Lao
Component.Language;lat;Latein;Latin
Component.Language;lav;Lettisch;Latvian
Component.Language;lez;Lesgisch;Lezghian
Component.Language;lim;Limburgisch;Limburgan, Limburger, Limburgish
Component.Language;lin;Lingala;Lingala
Component.Language;lit;Litauisch;Lithuanian
Component.Language;lol;Mongo-Sprache;Mongo
Component.Language;loz;Rotse-Sprache;Lozi
Component.Language;ltz;Luxemburgisch;Luxembourgish, Letzeburgesch
Component.Language;lua;Luba-Lulua-Sprache;Luba-Lulua
Component.Language;lub;Luba-Katanga-Sprache;Luba-Katanga
Component.Language;lug;Ganda-Sprache;Ganda
Component.Language;lui;Luiseño-Sprache;Luiseno
Component.Language;lun;Lunda-Sprache;Lunda
Component.Language;luo;Luo-Sprache;Luo (Kenya and Tanzania)
Component.Language;lus;Lushai-Sprache;Lushai
Component.Language;mac;Makedonisch;Macedonian
Component.Language;mad;Maduresisch;Madurese
Component.Language;mag;Magahī;Magahi
Component.Language;mah;Marschallesisch;Marshallese
Component.Language;mai;Maithili;Maithili
Component.Language;mak;Makassarisch;Makasar
Component.Language;mal;Malayalam;Malayalam
Component.Language;man;Malinke-Sprache;Mandingo
Component.Language;mao;Maori-Sprache;Maori
Component.Language;map;Austronesische Sprachen;Austronesian language.isos
Component.Language;mar;Marathi;Marathi
Component.Language;mas;Massai-Sprache;Masai
Component.Language;may;Malaiisch;Malay
Component.Language;mdf;Mokscha-Sprache;Moksha
Component.Language;mdr;Mandaresisch;Mandar
Component.Language;men;Mende-Sprache;Mende
Component.Language;mga;Mittelirisch;"Irish; Middle (900-1200)"
Component.Language;mic;Micmac-Sprache;Mi'kmaq, Micmac
Component.Language;min;Minangkabau-Sprache;Minangkabau
Component.Language;mis;Ohne-Code;Uncoded language.isos
Component.Language;mkh;Mon-Khmer-Sprachen;Mon-Khmer language.isos
Component.Language;mlg;Malagassi-Sprache;Malagasy
Component.Language;mlt;Maltesisch;Maltese
Component.Language;mnc;Mandschurisch;Manchu
Component.Language;mni;Meithei-Sprache;Manipuri
Component.Language;mno;Manobo-Sprache;Manobo language.isos
Component.Language;moh;Mohawk-Sprache;Mohawk
Component.Language;mon;Mongolisch;Mongolian
Component.Language;mos;Mossi-Sprache;Mossi
Component.Language;mul;Mehrere Sprachen;Multiple language.isos
Component.Language;mun;Mundasprachen;Munda language.isos
Component.Language;mus;Muskogisch;Creek
Component.Language;mwl;Mirandesisch;Mirandese
Component.Language;mwr;Mārwārī;Marwari
Component.Language;myn;Maya-Sprachen;Mayan language.isos
Component.Language;myv;Erza-Mordwinisch;Erzya
Component.Language;nah;Nahuatl;Nahuatl language.isos
Component.Language;nai;Nordamerikanisch-indigen;North American Indian language.isos
Component.Language;nap;Neapolitanisch;Neapolitan
Component.Language;nau;Nauruanisch;Nauru
Component.Language;nav;Navajo-Sprache;Navajo, Navaho
Component.Language;nbl;Ndebele-Sprache;"Ndebele; South, South Ndebele"
Component.Language;nde;Ndebele-Sprache;"Ndebele; North, North Ndebele"
Component.Language;ndo;Ndonga;Ndonga
Component.Language;nds;Niederdeutsch;"Low German, Low Saxon, German; Low, Saxon; Low"
Component.Language;nep;Nepali;Nepali
Component.Language;new;Newārī;Nepal Bhasa, Newari
Component.Language;nia;Nias-Sprache;Nias
Component.Language;nic;Nigerkordofanische Sprachen;Niger-Kordofanian language.isos
Component.Language;niu;Niue-Sprache;Niuean
Component.Language;nno;Nynorsk;"Norwegian Nynorsk, Nynorsk; Norwegian"
Component.Language;nob;Bokmål;"Bokmål; Norwegian, Norwegian Bokmål"
Component.Language;nog;Nogaisch;Nogai
Component.Language;non;Altnorwegisch;"Norse; Old"
Component.Language;nor;Norwegisch;Norwegian
Component.Language;nqo;N'Ko;N'Ko
Component.Language;nso;Pedi-Sprache;Pedi, Sepedi, Northern Sotho
Component.Language;nub;Nubische Sprachen;Nubian language.isos
Component.Language;nwc;Alt-Newārī;Classical Newari, Old Newari, Classical Nepal Bhasa
Component.Language;nya;Nyanja-Sprache;Chichewa, Chewa, Nyanja
Component.Language;nym;Nyamwezi-Sprache;Nyamwezi
Component.Language;nyn;Nkole-Sprache;Nyankole
Component.Language;nyo;Nyoro-Sprache;Nyoro
Component.Language;nzi;Nzima-Sprache;Nzima
Component.Language;oci;Okzitanisch;Occitan (post 1500)
Component.Language;oji;Ojibwa-Sprache;Ojibwa
Component.Language;ori;Oriya-Sprache;Oriya
Component.Language;orm;Ormo-Sprache;Oromo
Component.Language;osa;Osage-Sprache;Osage
Component.Language;oss;Ossetisch;Ossetian, Ossetic
Component.Language;ota;Osmanisch;"Turkish; Ottoman (1500-1928)"
Component.Language;oto;Otomangue-Sprachen;Otomian language.isos
Component.Language;paa;Papuasprachen;Papuan language.isos
Component.Language;pag;Pangasinan-Sprache;Pangasinan
Component.Language;pal;Mittelpersisch;Pahlavi
Component.Language;pam;Pampanggan-Sprache;Pampanga, Kapampangan
